Department,Other
Department,Meeting Notes
Department,SOTF Outcomes
Department,Workshop AARs 
Department,Senior Leader Request
Department,Admin/Staff Leadership Input
Department,VA Reports
External Actors,Other
External Actors,Think Tank Reports
External Actors,News Item
External Actors,Academic Reports
Government,White House guidance
Government,Legislation
Government,Meeting Notes
Government,Other
Government,Strategic Planning Community takeaway
Government,Health Futures Workshop
Government,Government Reports
Government,VA/Dod work group
Non-Governmental,Alternate Futures Community Items
Non-Governmental,VSO Reports
Non-Governmental,Email Conversation
Non-Governmental,Meeting Notes
Non-Governmental,Other 
Office,PAS Papers
Office,OPP Leadership
Office,Planning Guidance
Office,Brainstorming Notes
Office,Email Conversation
Office,Other
